Num.,Fname.,Time,Density,Scene
116,y00012,nighttime,dense,city
118,y00014,daytime,dense,building
119,y00015,nighttime,sparse,city
120,y00016,daytime,sparse,city
122,y00018,daytime,dense,building
123,y00019,daytime,sparse,plant
124,y00020,daytime,sparse,city
125,y00021,daytime,sparse,city
128,y00024,daytime,dense,city
129,y00025,nighttime,dense,city
130,y00026,nighttime,sparse,city
131,y00027,nighttime,dense,city
133,y00029,daytime,dense,plant
135,y00031,daytime,sparse,city
136,y00032,daytime,dense,city
138,y00034,daytime,sparse,country
139,y00035,daytime,dense,building
140,y00036,daytime,dense,building
141,y00037,nighttime,dense,city
142,y00038,daytime,sparse,country
143,y00039,nighttime,dense,city
145,y00041,daytime,sparse,country
146,y00042,nighttime,dense,country
148,y00044,daytime,sparse,building
149,y00045,daytime,sparse,building
150,y00046,nighttime,dense,city
151,y00047,daytime,dense,building
152,y00048,daytime,dense,building
154,y00050,nighttime,dense,city
156,y00052,daytime,dense,city
157,y00053,nighttime,dense,city
158,y00054,nighttime,dense,city
159,y00055,nighttime,dense,city
160,y00056,nighttime,sparse,city
162,y00058,daytime,sparse,city
163,y00059,nighttime,sparse,city
164,y00060,nighttime,sparse,city
165,y00061,daytime,sparse,country
166,y00062,daytime,sparse,building
168,y00064,daytime,sparse,plant
169,y00065,daytime,dense,building
170,y00066,daytime,dense,city
171,y00067,daytime,sparse,city
172,y00068,daytime,sparse,city
173,y00069,daytime,dense,plant
175,y00071,nighttime,dense,city
176,y00072,nighttime,dense,city
177,y00073,nighttime,dense,city
178,y00074,nighttime,dense,city
179,y00075,nighttime,dense,city
180,y00076,nighttime,dense,city
181,y00077,nighttime,dense,city
182,y00078,daytime,dense,country
185,y00081,daytime,dense,building
186,y00082,daytime,dense,city
187,y00083,daytime,dense,building
188,y00084,daytime,dense,country
189,y00085,daytime,sparse,city
191,y00087,daytime,dense,building
192,y00088,daytime,dense,building
193,y00089,nighttime,sparse,city
194,y00090,nighttime,dense,plant
195,y00091,nighttime,sparse,city
196,y00092,nighttime,dense,city
197,y00093,daytime,dense,building
198,y00094,nighttime,dense,city
199,y00095,nighttime,dense,city
200,y00096,nighttime,dense,city
201,y00097,daytime,dense,country
202,y00098,daytime,dense,building
203,y00099,nighttime,dense,city
204,y00100,nighttime,dense,city
205,y00101,nighttime,dense,city
206,y00102,daytime,dense,country
208,y00104,daytime,dense,city
209,y00105,nighttime,dense,city
210,y00106,nighttime,sparse,others
211,y00107,nighttime,dense,country
212,y00108,nighttime,dense,country
213,y00109,daytime,dense,building
214,y00110,daytime,dense,plant
216,y00112,daytime,dense,country
217,y00113,nighttime,dense,city
218,y00114,nighttime,dense,city
220,y00116,daytime,dense,country
221,y00117,daytime,dense,country
222,y00118,daytime,sparse,country
224,y00120,daytime,sparse,building
225,y00121,daytime,sparse,plant
227,y00123,daytime,sparse,country
229,y00125,daytime,sparse,country
230,y00126,daytime,dense,building
231,y00127,daytime,dense,building
232,y00128,daytime,sparse,building
233,y00129,daytime,dense,building
235,y00131,nighttime,dense,city
237,y00133,daytime,sparse,country
238,y00134,nighttime,dense,city
240,y00136,nighttime,dense,city
243,y00139,nighttime,dense,city
245,y00141,nighttime,dense,city
246,y00142,daytime,dense,plant
247,y00143,daytime,dense,country
248,y00144,daytime,dense,country
249,y00145,daytime,dense,country
251,m00003,nighttime,dense,city
252,m00004,nighttime,dense,city
254,m00006,daytime,dense,city
255,m00007,daytime,sparse,city
